commerc -> doc1:1 doc2:0 doc3:0 doc4:0 doc5:0 doc6:0 doc7:0 doc8:0 doc9:0 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
commerci -> doc1:1 doc2:0 doc3:0 doc4:0 doc5:0 doc6:0 doc7:0 doc8:0 doc9:0 doc10:2 doc11:0 doc12:0 doc13:0 doc14:0
concern -> doc1:1 doc2:0 doc3:0 doc4:0 doc5:1 doc6:1 doc7:0 doc8:1 doc9:0 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
confer -> doc1:1 doc2:1 doc3:1 doc4:1 doc5:1 doc6:1 doc7:1 doc8:1 doc9:1 doc10:1 doc11:2 doc12:1 doc13:1 doc14:1
contact -> doc1:1 doc2:1 doc3:1 doc4:1 doc5:1 doc6:1 doc7:1 doc8:1 doc9:1 doc10:1 doc11:1 doc12:1 doc13:1 doc14:1
correct -> doc1:1 doc2:1 doc3:1 doc4:1 doc5:1 doc6:1 doc7:1 doc8:2 doc9:1 doc10:1 doc11:1 doc12:1 doc13:1 doc14:1
crunch -> doc1:1 doc2:1 doc3:1 doc4:1 doc5:1 doc6:1 doc7:1 doc8:1 doc9:1 doc10:1 doc11:1 doc12:1 doc13:1 doc14:1
davo -> doc1:1 doc2:1 doc3:1 doc4:1 doc5:1 doc6:1 doc7:1 doc8:1 doc9:1 doc10:1 doc11:1 doc12:1 doc13:2 doc14:2
delay -> doc1:1 doc2:1 doc3:1 doc4:1 doc5:1 doc6:1 doc7:1 doc8:1 doc9:1 doc10:1 doc11:1 doc12:1 doc13:1 doc14:1
deliv -> doc1:1 doc2:1 doc3:1 doc4:1 doc5:1 doc6:1 doc7:1 doc8:1 doc9:1 doc10:1 doc11:1 doc12:1 doc13:1 doc14:1
depart -> doc1:1 doc2:0 doc3:0 doc4:0 doc5:0 doc6:0 doc7:0 doc8:0 doc9:0 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
